date,CLOSE,OPEN,HIGH,LOW,VOLUME
2020-01-02,239.91,238.75,239.91,236.72,5928034
2020-01-03,236.07001,235.10001,237.83,234.10001,5132288
2020-01-06,237.06,232.32001,237.27,231.27,6593063
2020-01-07,239.92999,238.2,241.77,236.39,7965966
2020-01-08,240.38,239.75999,242.03999,238.149,6915288
2020-01-09,243.02,243.85001,245.9297,240.855,6374238
2020-01-10,244.32001,247.33,248.55,243.75,7899333
2020-01-13,251.98,247.66,252.9884,246.75,7996272
2020-01-14,247.28,250.25999,251.28,246.75,8971649
2020-01-15,245.57001,247.78999,248.6891,244.53,6570793
2020-01-16,248.92999,247.72,249.17,246.77499,7097983
2020-01-17,249.28,249.7,250.0,247.37,6337505
2020-01-21,247.94,247.80499,249.28999,246.5703,5416566
2020-01-22,250.05,249.75999,253.59,249.0,5964532
2020-01-23,252.86,251.72,253.2,248.14999,6097668
2020-01-24,250.48,257.5,259.5,248.3,9305687
2020-01-27,240.2,238.24001,242.25,232.23,11750637
2020-01-28,247.97,242.85001,249.27,240.71429,7768712
2020-01-29,245.53999,247.39,248.84,243.94,6476602
2020-01-30,245.81,241.61,246.35001,239.39999,7229296
2020-01-31,236.42999,243.97,244.45,234.75,9236778
2020-02-03,240.33,235.7,241.1111,235.45,6388420
2020-02-04,247.13,246.03,247.89999,244.02,6781549
2020-02-05,250.75999,251.99001,252.39999,247.41,5191355
2020-02-06,254.245,252.14,254.25,248.88,5451295
2020-02-07,251.59,252.64,253.53,250.57201,4736255
2020-02-10,262.97,252.5,263.0,252.3,13226243
2020-02-11,267.89001,267.32001,272.5,264.82999,15954183
2020-02-12,272.54001,270.01001,272.79999,268.44739,9354112
2020-02-13,270.78,270.20999,273.48001,269.10999,13170021
2020-02-14,289.79001,287.26001,294.97,286.0,26012106
2020-02-18,296.57001,285.64401,297.31,284.85999,15516068
2020-02-19,314.70001,301.48999,315.41,301.4856,17293287
2020-02-20,308.70001,312.76501,316.32001,296.35001,20197725
2020-02-21,294.07001,304.19,305.20001,290.66,19194003
2020-02-24,273.28,270.19,281.87231,268.0,21360919
2020-02-25,262.04999,276.30399,278.79001,257.95999,26308572
2020-02-26,267.64999,262.06,275.45001,262.0,18634341
2020-02-27,252.60001,254.89999,267.0,248.89,22607941
2020-02-28,270.07001,242.455,272.45999,241.78999,28267051
2020-03-02,276.42999,276.89999,277.59,261.0,22226706
2020-03-03,265.89001,278.6665,281.07001,262.46011,16288997
2020-03-04,284.51001,270.20001,284.89001,267.20001,14917832
2020-03-05,273.29001,276.5,283.20001,271.5,13487728
2020-03-06,266.04001,266.07999,268.39001,258.0,12871389
2020-03-09,245.44,239.89999,259.39999,238.17999,15313314
2020-03-10,261.07999,256.54001,261.07999,245.99001,14485785
2020-03-11,246.47,255.455,256.60001,242.57001,12531845
2020-03-12,216.31,225.46001,236.119,215.8,20376343
2020-03-13,240.84,230.5,241.02,219.61,15830292
2020-03-16,196.39999,212.41,226.10001,194.0,18153397
2020-03-17,217.27,200.91,220.86,191.0,20788960
2020-03-18,202.82001,200.095,209.94,180.68069,21805975
2020-03-19,212.97,201.96001,216.73,193.39,19068751
2020-03-20,205.75,219.0,230.32001,205.13,20086713
2020-03-23,212.69,205.71001,216.48,198.52,16063414
2020-03-24,249.17999,229.0,252.66,228.05,27456988
2020-03-25,245.62,253.8,261.82001,243.66,19812745
2020-03-26,257.23999,253.94,262.22,250.0,17400158
2020-03-27,252.73,250.0,263.11771,248.67999,15946964
2020-03-30,265.59,255.36,265.95999,253.59,15036432
2020-03-31,263.60001,267.20001,275.3999,257.75,23750069
2020-04-01,243.07001,255.64999,261.53,241.28,16394137
2020-04-02,255.47,244.24001,256.0,242.31,16855189
2020-04-03,243.91,253.96001,255.63,238.39,16533750
2020-04-06,268.39999,255.24001,269.88,252.92999,18167497
2020-04-07,259.03,277.29999,278.25,257.29999,19584588
2020-04-08,266.95001,263.41,267.95001,260.60001,13540291
2020-04-09,262.95001,272.0,272.92001,260.42001,13429618
2020-04-13,269.85001,260.54999,270.20001,257.0,9944132
2020-04-14,283.95001,275.0,285.32001,273.88931,13253864
2020-04-15,280.84,277.20001,284.16711,275.38,9142444
2020-04-16,294.70001,287.07999,299.0,286.54999,18619975
2020-04-17,292.32001,298.0,298.85999,286.94,13461473
2020-04-20,287.04999,287.23999,293.5,285.26999,11214572
2020-04-21,269.51001,282.31,284.76999,267.10999,18346099
2020-04-22,286.14999,277.23001,287.87,275.39999,12097065
2020-04-23,284.01001,287.84,293.13751,283.0,10583757
2020-04-24,289.59,283.60001,289.67001,280.60001,8802977
2020-04-27,297.07999,294.98999,303.5,294.0,11967788
2020-04-28,291.35999,303.0,304.20001,291.14001,11055144
2020-04-29,298.45999,296.76999,300.57999,293.75,9463629
2020-04-30,292.28,296.293,298.45999,291.72,9371492
2020-05-01,282.78,284.35001,288.89999,280.8432,8520081
2020-05-04,291.285,280.88,291.84,280.88,7915723
2020-05-05,293.73999,295.47,300.26999,291.29001,9205957
2020-05-06,297.79001,296.92999,302.0,295.41,8074461
2020-05-07,304.87,303.38,307.41,301.323,9330004
2020-05-08,312.5,307.75,312.75,306.39001,8489618
2020-05-11,322.62,312.29999,324.5,311.14999,11699003
