date,CLOSE,OPEN,HIGH,LOW,VOLUME
2020-01-02,430.26001,424.5,430.69571,421.70999,9530112
2020-01-03,443.01001,440.5,454.0,436.92001,17754937
2020-01-06,451.54001,440.47,451.56,440.0,10135350
2020-01-07,469.06,461.39999,471.63,453.35501,18173374
2020-01-08,492.14001,473.70001,498.48999,468.23001,31075285
2020-01-09,481.34,497.10001,498.79999,472.87,28379982
2020-01-10,478.14999,481.79001,484.94,473.70001,12936566
2020-01-13,524.85999,493.5,525.63,492.0,26585353
2020-01-14,537.91998,544.255,547.40997,524.90002,28955735
2020-01-15,518.5,529.76001,537.84003,516.78528,17326831
2020-01-16,513.48999,493.75,514.46002,492.17001,21676128
2020-01-17,510.5,507.60999,515.66992,503.16,13613448
2020-01-21,547.20001,530.25,548.58002,528.40997,17729048
2020-01-22,569.56,571.89001,594.5,559.09998,31246840
2020-01-23,572.20001,564.25,582.0,555.60272,19647957
2020-01-24,564.82001,570.63,573.85999,554.26001,14307966
2020-01-27,558.02002,541.98999,564.44,539.28003,13573672
2020-01-28,566.90002,568.48999,576.81,558.08002,11790607
2020-01-29,580.98999,575.69,589.79993,567.42999,18180726
2020-01-30,640.81,632.41998,650.88,618.0,28911713
2020-01-31,650.57001,640.0,653.0,632.52002,15676580
2020-02-03,780.0,673.69,786.14001,673.52002,47076894
2020-02-04,887.06,882.96002,968.98993,833.88,60652235
2020-02-05,734.70001,823.26001,845.97998,704.1106,48231012
2020-02-06,748.96002,699.91998,795.83002,687.0,39721262
2020-02-07,748.07001,730.54999,769.75,730.0,17070771
2020-02-10,771.28003,800.0,819.98999,752.40002,24651598
2020-02-11,774.38,768.78998,783.5061,758.0,11661795
2020-02-12,767.28998,777.87,789.75,763.37,12016042
2020-02-13,804.0,741.84003,818.0,735.0,26218620
2020-02-14,800.03003,787.21997,812.96997,785.5,15656779
2020-02-18,858.40002,841.59998,860.0,832.35999,16668917
2020-02-19,917.41998,923.5,944.78003,901.02002,25338483
2020-02-20,899.40997,911.95001,912.0,859.94,17590776
2020-02-21,901.0,906.97998,913.06,880.45001,14314935
2020-02-24,833.78998,839.0,863.5,822.20001,15129252
2020-02-25,799.90997,849.0,856.59998,787.0,17266202
2020-02-26,778.79999,782.5,813.31,776.10999,14120951
2020-02-27,679.0,730.0,739.77002,669.0,24211114
2020-02-28,667.98999,629.70001,690.52002,611.52002,24469949
2020-03-02,743.62,711.26001,743.69,686.66998,20143254
2020-03-03,745.51001,805.0,806.97998,716.1106,25733963
2020-03-04,749.5,763.96033,766.52002,724.7345,15019950
2020-03-05,724.53998,723.77002,745.75,718.07001,10833518
2020-03-06,703.47998,690.00403,707.0,684.27002,12633439
2020-03-09,608.0,605.39001,662.99799,605.0,17020760
2020-03-10,645.33002,659.42999,668.0,608.0,15535305
2020-03-11,634.22998,640.20001,653.58002,613.0,13356746
2020-03-12,560.54999,580.89001,594.5,546.25,18883822
2020-03-13,546.62,595.0,607.57001,502.0,22595315
2020-03-16,445.07001,469.49969,494.8699,442.17001,20446685
2020-03-17,430.20001,440.01001,471.85001,396.0,23923871
2020-03-18,361.22,389.0,404.85999,350.51001,23718230
2020-03-19,427.64001,374.69699,452.0,358.45999,30136064
2020-03-20,427.53,438.20001,477.0,425.79001,28174267
2020-03-23,434.29001,433.60001,441.99991,410.5,16452706
2020-03-24,505.0,477.29999,513.69,474.0,22837423
2020-03-25,539.25,545.25,557.0,511.10999,21177366
2020-03-26,528.15997,547.39001,560.0,512.25,17394057
2020-03-27,514.35999,505.0,525.79999,494.03,14356042
2020-03-30,502.13,510.26001,516.64709,491.23001,11978923
2020-03-31,524.0,501.25,542.96002,497.0,17731682
2020-04-01,481.56,504.0,513.95477,475.10001,13321367
2020-04-02,454.47,481.03,494.25989,446.39999,19820649
2020-04-03,480.01001,509.5,515.48999,468.39011,22524300
2020-04-06,516.23999,511.20001,521.0,497.95999,14879233
2020-04-07,545.45001,545.0,565.0,532.34003,17889232
2020-04-08,548.84003,554.20001,557.20813,533.33002,12635605
2020-04-09,573.0,562.09003,575.18182,557.10999,13632843
2020-04-13,650.95001,590.15997,652.0,580.53003,22431569
2020-04-14,709.89001,698.96997,741.88,692.42999,30526376
2020-04-15,729.83002,742.0,753.13,710.0,23573333
2020-04-16,745.21002,716.94,759.45001,706.71503,20613321
2020-04-17,753.89001,772.28003,774.95001,747.65997,13090313
2020-04-20,746.35999,732.70001,765.57001,712.21002,14718531
2020-04-21,686.71997,730.12,753.33002,673.78998,20161043
